begin_sha,end_sha,commits,additions,deletions,changed_files,total_time,begin_Dispensables,begin_Bloaters,begin_Change Preventers,begin_Couplers,begin_Object-Orientation Abusers,end_Dispensables,end_Bloaters,end_Change Preventers,end_Couplers,end_Object-Orientation Abusers,cluster,timedelta,formatted_duration
4748fb97269526ecf67138fcd406ad380932e3ca,330cec2797c9dcaa7c05dbd6efbeb58a80c4270f,3,215,4,13,489243000000000,971,521.0,521.0,349.0,349.0,898.0,503.0,503.0,295.0,713.0,0,5 days 15:54:03,5 days 15:54:03
4748fb97269526ecf67138fcd406ad380932e3ca,bd900ae9db8abf819b28a29551cff87259700afc,3,94,88,12,138826000000000,971,521.0,521.0,349.0,349.0,901.0,504.0,504.0,295.0,713.0,0,1 days 14:33:46,1 days 14:33:46
c23ba9a1169227480c28efce43c0403e19164b3d,4261c1df0354a790f2b08e1a7fb456bf9febbe48,7,1043,7,5,233315000000000,940,533.0,533.0,349.0,349.0,903.0,498.0,498.0,325.0,712.0,0,2 days 16:48:35,2 days 16:48:35
73b339a55d0e9911c19b6931f3ce7706a2e87047,1f8795b4fd9108865f8b1f52bbe3de48ba5f324a,5,290,69,37,1395597000000000,940,530.0,530.0,338.0,338.0,885.0,506.0,506.0,298.0,700.0,0,16 days 03:39:57,16 days 03:39:57
9b5b8d6b326ad2644e0b5d4f603f0356aa2bacb7,6f6a0571fc1f5425ff90975158278ec252c040a4,1,6,6,4,168447000000000,970,521.0,521.0,349.0,349.0,900.0,502.0,502.0,294.0,719.0,0,1 days 22:47:27,1 days 22:47:27
9b5b8d6b326ad2644e0b5d4f603f0356aa2bacb7,84f1523d24486a59fbd3f006a68de2a3959dd2ee,8,77,13,10,1395387000000000,970,521.0,521.0,349.0,349.0,898.0,503.0,503.0,295.0,713.0,0,16 days 03:36:27,16 days 03:36:27
e1d4127322b4ab96fb81976d318857eb74fa3219,b6ad97fd521876f7196c3ffeac9d7b052deb63e8,14,94,15,2,160314000000000,1942,1042.0,1042.0,698.0,698.0,1796.0,1006.0,1006.0,590.0,1426.0,0,1 days 20:31:54,1 days 20:31:54
a8d20de041baaf2b6345d833797484389740b609,fc8f79524f95dd17e35d92d5d026982511f983ef,22,409,346,20,436312000000000,970,521.0,521.0,349.0,349.0,915.0,503.0,503.0,295.0,721.0,0,5 days 01:11:52,5 days 01:11:52
a8d20de041baaf2b6345d833797484389740b609,55cc72e377352d17188c416fe7c9bc5007c471b3,2,8,0,1,256414000000000,970,521.0,521.0,349.0,349.0,898.0,499.0,499.0,295.0,712.0,0,2 days 23:13:34,2 days 23:13:34
7c2db17276e62162cb8c9eb69b331a5fe2c1c13d,9b5b8d6b326ad2644e0b5d4f603f0356aa2bacb7,1,41,1,4,63390000000000,970,522.0,522.0,349.0,349.0,898.0,499.0,499.0,295.0,712.0,0,0 days 17:36:30,0 days 17:36:30
